pair_id,environment_seed,requested_relation,requested_success,actions_executed,final_dx_m,failure_stage,future_interface
robotwin_pair_03,4300003,left,False,400,0.387631356716156,closed_gripper_no_verified_pickup,action_only_not_applicable
robotwin_pair_03,4300003,right,False,400,0.07388199865818024,picked_never_entered_requested_region,action_only_not_applicable
robotwin_pair_04,4300004,left,False,400,-0.009174995124340057,closed_gripper_no_verified_pickup,action_only_not_applicable
robotwin_pair_04,4300004,right,False,400,-0.12486997246742249,picked_never_entered_requested_region,action_only_not_applicable
robotwin_pair_05,4300005,left,False,400,-0.010345254093408585,picked_never_entered_requested_region,action_only_not_applicable
robotwin_pair_05,4300005,right,True,124,0.15217843651771545,success,action_only_not_applicable
robotwin_pair_06,4300006,left,True,132,-0.10845904797315598,success,action_only_not_applicable
robotwin_pair_06,4300006,right,False,400,-0.008978668600320816,picked_never_entered_requested_region,action_only_not_applicable
robotwin_pair_07,4300007,left,False,400,0.012436024844646454,closed_gripper_no_verified_pickup,action_only_not_applicable
robotwin_pair_07,4300007,right,False,400,-0.006899099797010422,closed_gripper_no_verified_pickup,action_only_not_applicable
robotwin_pair_08,4300008,left,False,400,-0.12941698729991913,entered_requested_region_without_verified_completion,action_only_not_applicable
robotwin_pair_08,4300008,right,False,400,-0.10632583498954773,picked_never_entered_requested_region,action_only_not_applicable
robotwin_pair_09,4300009,left,False,400,0.3220598101615906,picked_never_entered_requested_region,action_only_not_applicable
robotwin_pair_09,4300009,right,False,400,0.20674177259206772,closed_gripper_no_verified_pickup,action_only_not_applicable
