pair_id,environment_seed,requested_relation,requested_success,actions_executed,final_dx_m,failure_stage,future_interface
robotwin_pair_04,4300004,left,True,47,-0.11929889023303986,success,decoded_future_video
robotwin_pair_04,4300004,right,False,400,-0.04007812216877937,picked_never_entered_requested_region,decoded_future_video
robotwin_pair_05,4300005,left,True,46,-0.09397525293752551,success,decoded_future_video
robotwin_pair_05,4300005,right,True,47,0.11831803619861603,success,decoded_future_video
robotwin_pair_06,4300006,left,False,400,-0.06664957106113434,picked_never_entered_requested_region,decoded_future_video
robotwin_pair_06,4300006,right,False,400,0.00930243730545044,picked_never_entered_requested_region,decoded_future_video
robotwin_pair_07,4300007,left,False,400,-0.1631229966878891,picked_never_entered_requested_region,decoded_future_video
robotwin_pair_07,4300007,right,True,46,0.10673169791698456,success,decoded_future_video
robotwin_pair_08,4300008,left,True,46,-0.1346607804298401,success,decoded_future_video
robotwin_pair_08,4300008,right,False,400,-0.08206583559513092,picked_never_entered_requested_region,decoded_future_video
robotwin_pair_09,4300009,left,False,400,0.11548817902803421,picked_never_entered_requested_region,decoded_future_video
robotwin_pair_09,4300009,right,False,400,0.20745088905096054,picked_never_entered_requested_region,decoded_future_video
