absolute_path,bytes,sha256
/home/ali/projects/Efficient-WAM/experiments/robotwin_language_gate/BLOG_NOTES.md,4619,4b37862bb2f54c4a337f981195e07990df920df81484f893d027976019ed1197
/home/ali/projects/Efficient-WAM/experiments/robotwin_language_gate/README.md,8097,cc6682c8e28afe42b4d32b0ed38b73448074e44dcc5408da9fd45add1cc031f4
/home/ali/projects/Efficient-WAM/experiments/robotwin_language_gate/capture_fixed_observation.py,4470,c59dd92469f53cecc23790813fe6a132dde7ab54462b886455e2a2c59ca7c204
/home/ali/projects/Efficient-WAM/experiments/robotwin_language_gate/closed_loop_language_gate.py,13216,df853349443d9ddb6d24005c4c3b079ea6874a5a87afaea0817e6c1b8f99b835
/home/ali/projects/Efficient-WAM/experiments/robotwin_language_gate/hierarchical_steering_gate.py,25800,7a5026eb451585984be0b957f21c8cd967e4b4aa1c98ef90fe40752e6b7daa3a
/home/ali/projects/Efficient-WAM/experiments/robotwin_language_gate/language_grounding_probe.py,6204,9d456b8ae3f77aa5b978bda1fa8c8c2f744b173506df96da40bcd25bc5c0d0ba
/home/ali/projects/Efficient-WAM/experiments/robotwin_language_gate/run_gate_3090.sh,868,0a8dacef7b180dca8733d37c86ed1e3534cc1660a4e1cedfb372dcdc86d6a56b
/home/ali/projects/Efficient-WAM/experiments/robotwin_language_gate/run_hierarchical_gate_3090.sh,869,d14768ea0e9a1384aa90ad2f9db9718617570e4accbad20d79c015effd624070
/home/ali/projects/Efficient-WAM/experiments/robotwin_language_gate/summarize_hierarchical_results.py,14960,7da5acc7dd06922c0576050fa06dabe14da712a10f1740e7f6928e8d0e4e67e5
/home/ali/projects/Efficient-WAM/experiments/robotwin_language_gate/summarize_results.py,6725,0e82123d07a0f30c66084300f5f2a216b8f47918ed733395267f32165f18f0d2
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/adaptive_left_s600_602/place_a2b_left/environment_seed_4200000/sampling_seed_600/adaptive_oracle_counterfactual/result.json,20312,72c6a1bce4cf42c6ba78fceedfb617eaebd23f8926e3ed21e251a701e0647aef
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/adaptive_left_s600_602/place_a2b_left/environment_seed_4200000/sampling_seed_600/adaptive_oracle_counterfactual/trajectory.npz,23503,4fb41447f9605808feb4f9ed5f3260c71f297c09e5efccbf1e61284d235b59da
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/adaptive_right_s600_602/place_a2b_right/environment_seed_4200000/sampling_seed_600/adaptive_oracle_counterfactual/result.json,20281,a95837e76aefe3754cba2672125a218213afdad8139c96be892b1d9035ab391c
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/adaptive_right_s600_602/place_a2b_right/environment_seed_4200000/sampling_seed_600/adaptive_oracle_counterfactual/trajectory.npz,23246,c8f860b869a5b0550cfda2b26d0c467387d863757a1a79b863b6f9428b8f7f6e
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/blog/RESULTS.md,799,858af1fb7361dbb022e784377a0deb385741a40f812101d817dfa6fb88ec4d61
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/blog/endpoint_shift.png,141656,b29f52777c40851c8dfeed6039993c653ce9d1925f0fee9921ac65d8c0cda6de
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/blog_clean_right_to_left/clean_pair_montage.png,212455,adea0df1625d6abaaaa2317288a9fc63f46c41a994fc7277c4c78700b8f62ca9
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/blog_clean_right_to_left/frames/correct_0.0.png,28941,fcd7c877b69ce877352c3a8403bc0929126bdbb49d820b0a3f247889ee031d46
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/blog_clean_right_to_left/frames/correct_4.0.png,43877,e58fd3b1dc423a41f6cb93c109e72ff50d74d2bf2b0d4b7e93229da5063f339c
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/blog_clean_right_to_left/frames/correct_7.4.png,44207,7bb70bd4a0eca3e9a2af42c6d4ac4d700dcf6c77dd88219c50c40a2d438697df
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/blog_clean_right_to_left/frames/swapped_0.0.png,29212,633d5cb6bd73e5a6fda253495bd66848d03ff019fab90286b13cab4ede5e3686
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/blog_clean_right_to_left/frames/swapped_4.0.png,45663,f031c01b5aa6ec418690a4aa8425f783dfd4b0e54b8d184f0d303c291d9be923
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/blog_clean_right_to_left/frames/swapped_7.9.png,49701,9b7cf7dc6261aa81b274486677ac51b491c2d78bbc13366fccae0567265ff82d
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/blog_clean_right_to_left/manifest.json,457,dce5986114070d9fd4d380d9bdbf0b6d98c751daae88d5d42221aa54c0e33bff
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/blog_clean_right_to_left/place_a2b_right/environment_seed_4200000/sampling_seed_600/correct/efficient_wam_predicted_video/episode0.mp4,20626,1c13875e1b925c7122662e4f760c99c296cc8458eaeb0f731171efcc400b3527
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/blog_clean_right_to_left/place_a2b_right/environment_seed_4200000/sampling_seed_600/correct/result.json,1751,a473035273a23fde9bb2e0d023f2f5f15f0c7a5e24c276fc1ab293fa06cf6003
/home/ali/projects/Efficient-WAM/outputs/robotwin_language_gate/blog_clean_right_to_left/place_a2b_right/environment_seed_4200000/sampling_seed_600/correct/simulator.mp4,33032,e36e20ed51cf5c3f76b033eeac888525e5b872c81f1506b118ea223ea27ab294
